window,variant,horizon,cost_bps,rank_ic_mean,rank_ic_positive_rate,rank_ic_dates,top_bucket_return_mean,bottom_bucket_return_mean,top_bottom_spread_mean,top_bottom_hit_rate,top_bucket_max_drawdown,spread_max_drawdown,turnover_mean,sector_exposure_top,top_avg_close,universe_avg_close,top_avg_adv20,universe_avg_adv20,score_size_spearman,score_liquidity_spearman,observations
old_thin,reversal_5,10,70,0.011315,0.549618,131,0.005821,0.000217,0.005604,0.587786,-0.23854,-0.219796,0.4,"{""Communication Services"": 0.0248, ""Consumer Discretionary"": 0.0935, ""Energy"": 0.0458, ""Financials"": 0.0897, ""Healthcare"": 0.1393, ""Industrials"": 0.063, ""Technology"": 0.5038, ""Unknown"": 0.0401}",209.894175,262.858579,5920396783.424902,4239229571.178708,-0.035223,0.029009,4977
old_thin,reversal_5,20,70,-0.005379,0.595041,121,0.007097,0.014428,-0.007331,0.495868,-0.214175,-0.228018,0.402083,"{""Communication Services"": 0.0269, ""Consumer Discretionary"": 0.1012, ""Energy"": 0.0434, ""Financials"": 0.0909, ""Healthcare"": 0.1467, ""Industrials"": 0.0682, ""Technology"": 0.4897, ""Unknown"": 0.0331}",217.268958,264.588761,6137244640.62089,4197200941.448284,-0.009045,0.037839,4597
old_thin,reversal_5,60,70,-0.047217,0.419753,81,0.006507,0.100242,-0.093735,0.358025,-0.08268,-0.196612,0.409375,"{""Communication Services"": 0.0278, ""Consumer Discretionary"": 0.0926, ""Energy"": 0.0648, ""Financials"": 0.0864, ""Healthcare"": 0.1698, ""Industrials"": 0.0833, ""Technology"": 0.4444, ""Unknown"": 0.0309}",224.575248,261.471432,5494109864.104409,3965945565.558198,0.003815,0.046667,3077
mid_weak,pullback_rs_60_5,5,0,0.009897,0.580645,124,0.014372,0.012779,0.001593,0.5,-0.077315,-0.169414,0.288618,"{""Communication Services"": 0.0585, ""Consumer Discretionary"": 0.0827, ""Energy"": 0.0161, ""Financials"": 0.0706, ""Healthcare"": 0.0544, ""Industrials"": 0.0383, ""Technology"": 0.6371, ""Unknown"": 0.0423}",233.860438,293.423096,6223666801.863926,4815337885.534054,-0.014708,0.078875,4712
mid_weak,pullback_rs_60_5,10,0,-0.007546,0.495798,119,0.026391,0.02959,-0.003199,0.411765,-0.048011,-0.180978,0.288136,"{""Communication Services"": 0.0609, ""Consumer Discretionary"": 0.084, ""Energy"": 0.0168, ""Financials"": 0.0693, ""Healthcare"": 0.0546, ""Industrials"": 0.0378, ""Technology"": 0.6324, ""Unknown"": 0.0441}",230.426521,292.271415,6246729953.816833,4787281584.578172,-0.017396,0.066856,4522
mid_weak,pullback_rs_60_5,20,0,-0.019006,0.559633,109,0.064561,0.066034,-0.001473,0.550459,-0.022465,-0.158017,0.300926,"{""Communication Services"": 0.0665, ""Consumer Discretionary"": 0.0757, ""Energy"": 0.0183, ""Financials"": 0.0757, ""Healthcare"": 0.0596, ""Industrials"": 0.0413, ""Technology"": 0.6193, ""Unknown"": 0.0436}",221.246587,289.441519,5810583794.388865,4728770313.973732,-0.024787,0.050042,4142
mid_weak,pullback_rs_60_5,60,0,-0.036675,0.608696,69,0.23067,0.192033,0.038637,0.652174,-0.000156,-0.152012,0.305147,"{""Communication Services"": 0.1014, ""Consumer Discretionary"": 0.1159, ""Energy"": 0.0254, ""Financials"": 0.0942, ""Healthcare"": 0.0688, ""Industrials"": 0.0435, ""Technology"": 0.5217, ""Unknown"": 0.029}",222.797638,280.606956,5650005347.189661,4680944433.293624,0.022967,0.037466,2622
mid_weak,pullback_rs_60_5,5,35,0.009897,0.580645,124,0.010872,0.009279,0.001593,0.5,-0.088278,-0.169414,0.288618,"{""Communication Services"": 0.0585, ""Consumer Discretionary"": 0.0827, ""Energy"": 0.0161, ""Financials"": 0.0706, ""Healthcare"": 0.0544, ""Industrials"": 0.0383, ""Technology"": 0.6371, ""Unknown"": 0.0423}",233.860438,293.423096,6223666801.863926,4815337885.534054,-0.014708,0.078875,4712
mid_weak,pullback_rs_60_5,10,35,-0.007546,0.495798,119,0.022891,0.02609,-0.003199,0.411765,-0.053039,-0.180978,0.288136,"{""Communication Services"": 0.0609, ""Consumer Discretionary"": 0.084, ""Energy"": 0.0168, ""Financials"": 0.0693, ""Healthcare"": 0.0546, ""Industrials"": 0.0378, ""Technology"": 0.6324, ""Unknown"": 0.0441}",230.426521,292.271415,6246729953.816833,4787281584.578172,-0.017396,0.066856,4522
mid_weak,pullback_rs_60_5,20,35,-0.019006,0.559633,109,0.061061,0.062534,-0.001473,0.550459,-0.024086,-0.158017,0.300926,"{""Communication Services"": 0.0665, ""Consumer Discretionary"": 0.0757, ""Energy"": 0.0183, ""Financials"": 0.0757, ""Healthcare"": 0.0596, ""Industrials"": 0.0413, ""Technology"": 0.6193, ""Unknown"": 0.0436}",221.246587,289.441519,5810583794.388865,4728770313.973732,-0.024787,0.050042,4142
